 age | freqy | freqn 
-----+-------+-------
  18 | 10966 | 10915
  19 | 11538 | 11550
  20 | 11637 | 11349
  21 | 11547 | 11475
  22 | 11395 | 11579
  23 | 11526 | 11449
  24 | 11549 | 11540
  25 | 11644 | 11477
  26 | 11465 | 11313
  27 | 11491 | 11337
  28 | 11658 | 11562
  29 | 11309 | 11425
  30 | 11532 | 11434
  31 | 11374 | 11540
  32 | 11220 | 11466
  33 | 11622 | 11714
  34 | 11351 | 11387
  35 | 11446 | 11579
  36 | 11549 | 11601
  37 | 11439 | 11540
  38 | 11564 | 11532
  39 | 11514 | 11518
  40 | 11466 | 11458
  41 | 11397 | 11572
  42 | 11561 | 11323
  43 | 11541 | 11489
  44 | 11558 | 11485
  45 | 11674 | 11534
  46 | 11477 | 11498
  47 | 11513 | 11366
  48 | 11310 | 11339
  49 | 11649 | 11418
  50 | 11499 | 11348
  51 | 11391 | 11484
  52 | 11397 | 11494
  53 | 11503 | 11482
  54 | 11446 | 11549
  55 | 11614 | 11392
  56 | 11468 | 11556
  57 | 11460 | 11383
  58 | 11518 | 11438
  59 | 11662 | 11420
  60 | 11414 | 11460
  61 | 11664 | 11321
  62 | 11426 | 11229
  63 | 11443 | 11457
  64 | 11376 | 11363
  65 | 11069 | 11028
(48 rows)

